time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,gender,t_fte_teachers
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Female,32636.23874
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Male,11721.60361
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Total,44368.86235
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,Female,32636.23874
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,Male,11721.60361
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,Total,44368.86235
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,Female,77.48666667
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,Male,1.166666667
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,Total,78.65333333
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,Female,15378.061826
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,Male,2747.2114581
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,Total,18125.273288
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,Female,10775.96442
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,Male,6620.440445
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,Total,17411.93895
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,Female,1079.682445
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,Male,407.4342219
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,Total,1487.116667
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Female,27637.68536
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Male,9842.022791
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Total,37495.24223
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,Female,27637.68536
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,Male,9842.022791
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,Total,37495.24223
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,Female,165.245
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,Male,8
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,Total,173.245
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,Female,20472.851508
