time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,t_schools
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1777
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,329
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,115
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2403
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,164
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1644
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,293
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,106
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2239
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,232
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,56
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1771
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,420
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,165
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2644
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,227
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,38
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1992
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,394
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Special,140
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2791
202021,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,545
202021,Academic year,Regional,E92000001,England,E12000007,London,Nursery,79
202021,Academic year,Regional,E92000001,England,E12000007,London,Primary,1809
202021,Academic year,Regional,E92000001,England,E12000007,London,Secondary,520
202021,Academic year,Regional,E92000001,England,E12000007,London,Special,209
202021,Academic year,Regional,E92000001,England,E12000007,London,Total,3162
202021,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,538
202021,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,42
202021,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2603
202021,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,516
202021,Academic year,Regional,E92000001,England,E12000008,South East,Special,204
202021,Academic year,Regional,E92000001,England,E12000008,South East,Total,3903
202021,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,217
202021,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
202021,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1886
202021,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,342
202021,Academic year,Regional,E92000001,England,E12000009,South West,Special,124
202021,Academic year,Regional,E92000001,England,E12000009,South West,Total,2587
202122,Academic year,National,E92000001,England,,,Non-maintained mainstream,2450
202122,Academic year,National,E92000001,England,,,Nursery,385
202122,Academic year,National,E92000001,England,,,Primary,16786
202122,Academic year,National,E92000001,England,,,Secondary,3473
202122,Academic year,National,E92000001,England,,,Special,1360
202122,Academic year,National,E92000001,England,,,Total,24454
202122,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,60
202122,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,30
202122,Academic year,Regional,E92000001,England,E12000001,North East,Primary,863
202122,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,176
202122,Academic year,Regional,E92000001,England,E12000001,North East,Special,78
202122,Academic year,Regional,E92000001,England,E12000001,North East,Total,1207
202122,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,290
202122,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,64
202122,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2448
202122,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,471
202122,Academic year,Regional,E92000001,England,E12000002,North West,Special,211
202122,Academic year,Regional,E92000001,England,E12000002,North West,Total,3484
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,154
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1774
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,332
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,114
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2401
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,170
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1648
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,295
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,106
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2251
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,245
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,56
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1772
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,425
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,165
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2663
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,224
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,38
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1991
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,395
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Special,144
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2792
202122,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,542
202122,Academic year,Regional,E92000001,England,E12000007,London,Nursery,78
202122,Academic year,Regional,E92000001,England,E12000007,London,Primary,1798
202122,Academic year,Regional,E92000001,England,E12000007,London,Secondary,518
202122,Academic year,Regional,E92000001,England,E12000007,London,Special,213
202122,Academic year,Regional,E92000001,England,E12000007,London,Total,3149
